Reference No,title,Duration,Instructors
[' CRS-Q-0022553-IT '], NICF- ITIL Continual Service Improvement Certificate  (SF),[' 4 days '],"['Mr. Harold Petersen', 'Mr. Jamie Donoghue', 'Mr. Krist YONG']"
[' CRS-Q-0037063-ICT '],NICF- Developing Smart Urban IoT Solutions  (SF),[' 3 days '],"['Dr. Matthew CHUA ', 'Mr. NG Kok Leong', 'Mr. Nicholas HO']"
[' CRS-Q-0036474-ICT '],NICF- Data and Feature Engineering for Machine Learning  (SF),[' 7 days '],['Ms. Lisa ONG']
[' CRS-Q-0035990-ICT '],NICF- Certified ScrumMaster  (SF),[' 3 days '],['Mr. Pete DEEMER']
[' CRS-Q-0036481-ICT '],NICF- Architecting Software Solutions  (SF),[' 5 days '],['Mr. HENG Boon Kui']
[' CRS-Q-0034800-ICT '],NICF- Business Process Reengineering  (SF),[' 3 days '],"['Mr. YU Chen Kuang ', 'Dr. HOE Siu Loon', 'Ms. Tamsin Emma Maria GREULICH-SMITH']"
[' CRS-Q-0037065-ICT '],NICF- Digital User Experience Design  (SF),[' 3 days '],"['Mr. Michael TAN ', 'Ms. CHIN Wun Yunn', 'Mr. NG Wei Lieh', 'Mr. Reuben PNG']"
[' CRS-Q-0036481-ICT '],NICF- Architecting Software Solutions  (SF),[' 5 days '],['Mr. HENG Boon Kui']
[' CRS-Q-0036102-ICT '],NICF- Client Side Foundation  (SF),[' 10 days '],"['Mr. Kenneth PHANG ', 'Mr. LEE Chuk Munn', 'Mr. Vincent LAU']"
[' CRS-Q-0035471-ICT '],NICF- Digital Transformation Planning  (SF),[' 3 days '],"['Mr. Nicholas TAN ', 'Dr. HOE Siu Loon', 'Dr. Kate LAZARENKO', 'Ms. Tamsin Emma Maria GREULICH-SMITH', 'Mrs. TAN Lay Ngan']"
[' CRS-Q-0035988-ICT '],"NICF- Python for Data, Ops and Things  (SF)",[' 10 days '],['Mr. Prasanna VEERAPANDI ']
[' CRS-Q-0036092-ICT '],NICF- Statistics Bootcamp  (SF),[' 5 days '],"['Mr. Charles PANG ', 'Ms. Catherine KHAW', 'Mr. Eric THAM', 'Mr. GU Zhan ', 'Mr. Neumann CHEW', 'Mr. Nirmal Raja PALAPARTHI', 'Mr. Prakash Chandra SUKHWAL', 'Dr. Rita CHAKRAVARTI', 'Dr. TAN Jen Hong']"
[' CRS-Q-0036095-ICT '],NICF- Security Notification and Messaging Fundamentals  (SF),[' 10 days '],"['Mr. Kenneth PHANG ', 'Mr. LEE Chuk Munn', 'Mr. Vincent LAU']"
[' CRS-Q-0022505-IT '],NICF- ITIL Operational Support and Analysis Certificate  (SF),[' 5 days '],"['Mr. GOH Boon Nam ', 'Mr. Harold Petersen', 'Mr. Jamie Donoghue', 'Mr. Krist YONG']"
[' CRS-Q-0036793-ICT '],NICF- PRINCE2 (PRojects IN Controlled Environments) - Foundation and Practitioner Certificate  (SF),[' 5 days '],"['Mr. Harold Petersen', 'Mr. Jamie Donoghue']"
['- '],"Enhanced Development Methodology",['9.00am - 5.00pm'],"['Mr. LEE Boon Kee ', 'Mr. TAN Liong Choon']"
[' CRS-Q-0036473-ICT '],NICF- Secure Software Development Lifecycle for Agile  (SF),[' 3 days '],"['Mr. CHIA Yuen Kwan ', 'Mr. Charles YANG']"
[' CRS-Q-0036100-ICT '],NICF- Introduction to Blockchain & DLT for Executives  (SF),[' 1 day '],['Mr. Eric THAM ']
[' CRS-Q-0036478-ICT '],NICF- Reasoning Systems  (SF),[' 5 days '],"['Mr. GU Zhan ', 'Dr. FAN Zhen Zhen', 'Dr. ZHU Fang Ming']"
[' CRS-Q-0034795-ICT '],NICF- Statistics for Business  (SF),[' 3 days '],"['Mr. Charles PANG ', 'Mr. Dave HUFTON', 'Mr. Neumann CHEW', 'Mr. Rajnish TULI']"
[' CRS-Q-0035988-ICT '],"NICF- Python for Data, Ops and Things  (SF)",[' 10 days '],['Mr. Prasanna VEERAPANDI ']
[' CRS-Q-0034788-ICT '],NICF - Lean IT Foundation Certification  (SF),[' 3 days '],['Mr. Chandrasekaran PARAMASIVAM ']
[' CRS-Q-0036482-ICT '],NICF- Object Oriented Design Patterns  (SF),[' 4 days '],"['Mr. HENG Boon Kui ', 'Ms. Swarnalatha ASHOK']"
[' CRS-Q-0037064-ICT '],NICF- Web Analytics & SEO  (SF),[' 3 days '],"['Ms. LIM Wee Khee ', ' Rehermann Anna Katrin']"
[' CRS-Q-0036793-ICT '],NICF- PRINCE2 (PRojects IN Controlled Environments) - Foundation and Practitioner Certificate  (SF),[' 5 days '],"['Mr. Harold Petersen', 'Mr. Jamie Donoghue']"
[' CRS-Q-0036094-ICT '],NICF- Persistence and Analytics Fundamentals  (SF),[' 10 days '],"['Mr. Kenneth PHANG ', 'Mr. LEE Chuk Munn', 'Mr. Vincent LAU']"
[' CRS-Q-0035468-ICT '],NICF- Architecting IOT Solutions  (SF),[' 4 days '],['Mr. NG Kok Leong']
[' CRS-Q-0034842-ICT '],NICF- Platform Engineering  (SF),[' 3 days '],"['Mr. HENG Boon Kui', 'Ms. Swarnalatha ASHOK']"
[' CRS-Q-0034792-ICT '],NICF- Essential Practices for Agile Teams  (SF),[' 3 days '],"['Ms. Swarnalatha ASHOK ', 'Ms. CHOONG Yue Lin']"
[' CRS-Q-0034842-ICT '],NICF- Platform Engineering  (SF),[' 3 days '],"['Mr. HENG Boon Kui', 'Ms. Swarnalatha ASHOK']"
[' CRS-Q-0034796-ICT '],NICF- Customer Analytics  (SF),[' 3 days '],"['Mr. Eric THAM ', 'Mr. Dave HUFTON', 'Mr. Nirmal Raja PALAPARTHI', 'Mr. Prakash Chandra SUKHWAL', 'Mr. Rajnish TULI', 'Dr. Rita CHAKRAVARTI']"
